[0, 0] ['e'] e [ -22.15788307 -200.86907676  -22.15956933 -241.00873901]
[0, 1] ['s'] s [-21.17836912 -22.0316722  -21.1782913  -95.43767587]
[1, 1] ['e'] e [-20.17959847 -20.7572698  -20.17959869 -21.0522385 ]
[1, 2] ['s'] s [-19.17960284 -20.23634006 -19.17960284 -20.74634151]
[2, 2] ['e'] e [-18.17960288 -19.6723108  -18.17960288 -19.14078024]
[2, 3] ['e'] e [-17.17960288 -18.83036649 -17.17960288 -18.82850333]
[2, 4] ['s'] s [-30.05380294 -18.01952996 -16.17960288 -18.08112915]
[3, 4] ['e'] e [-15.17960288 -17.15430271 -15.17960288 -17.06937597]
[3, 5] ['e'] e [-14.17960288 -16.13034208 -14.17960288 -25.60657529]
[3, 6] ['e'] e [-13.17960288 -15.08877997 -13.17960288 -15.01681798]
[3, 7] ['e'] e [-12.17960288 -13.9892598  -12.17960288 -14.02695639]
[3, 8] ['e'] e [-11.17960288 -12.89053998 -11.17960288 -13.04421917]
[3, 9] ['s'] s [-12.45696797 -12.15681523 -10.17960288 -12.17003471]
[4, 9] ['e'] e [ -9.17960288 -11.17960288 -11.17960288 -11.17960288]
[4, 10] ['e'] e [ -8.17960288 -10.17960288 -10.17960288  -9.17960288]
[4, 11] ['e'] e [-7.17960288 -9.17960283 -9.17960212 -7.17960288]
[4, 12] ['e'] e [-6.17960288 -8.17910259 -8.17935334 -6.17960288]
[4, 13] ['e'] e [-5.17960288 -7.17783301 -7.17288869 -5.17960288]
[4, 14] ['e'] e [-4.17960288 -6.15161841 -6.1310962  -4.17960288]
[4, 15] ['n'] n [-4.19695253 -5.17923486 -5.17941854 -3.17960288]
[3, 15] ['n'] n [-3.18033898 -4.1796018  -4.1796025  -2.17960288]
[2, 15] ['n'] n [-2.17960322 -3.17960288 -3.17960288 -1.17960288]
[1, 15] ['n'] n [-1.17960288 -2.17960288 -2.17960288 -0.17960288]

