[0, 0] ['e'] e [ -26.9217294  -350.39506894  -78.14131484 -374.35912411]
[0, 1] ['s'] s [ -45.50626529  -54.31138164  -25.4156393  -104.22951265]
[1, 1] ['s'] s [-27.65862836 -41.95686564 -23.15578674 -34.99910258]
[2, 1] ['e'] e [-22.58581346 -37.24907387 -23.45545642 -26.74681944]
[2, 2] ['s'] s [-21.41241716 -24.00837691 -21.14101854 -25.86296464]
[3, 2] ['e'] e [-19.65898955 -23.3141606  -21.95388343 -22.24349639]
[3, 3] ['s'] s [-19.43650693 -21.3019542  -18.61851486 -20.76839897]
[4, 3] ['e'] e [-17.54020705 -22.09034784 -20.6951277  -19.87210307]
[4, 4] ['e'] e [-16.09522124 -19.25679681 -20.17322694 -18.59725252]
[4, 5] ['e'] e [-15.03466197 -17.96032143 -16.65757215 -17.2547364 ]
[4, 6] ['e'] e [-13.77655421 -16.42749504 -25.43082446 -16.57964124]
[4, 7] ['e'] e [-12.72861396 -15.02308576 -15.13565938 -14.90889877]
[4, 8] ['e'] e [-11.54789479 -13.75318247 -14.03382642 -13.7648608 ]
[4, 9] ['e'] e [-10.27599616 -12.86903547 -12.41029061 -12.41099746]
[4, 10] ['e'] e [ -9.01557453 -11.49687237 -11.28045508 -10.11816431]
[4, 11] ['e'] e [ -7.98777831 -10.31138105 -10.15431414  -8.44427907]
[4, 12] ['e'] e [-6.93588744 -9.2131374  -9.29919868 -7.1347309 ]
[4, 13] ['n'] n [-6.59274269 -7.97359568 -8.08120598 -5.99129026]
[3, 13] ['e'] e [-4.4670451  -6.90574216 -6.85755272 -5.01008838]
[3, 14] ['n'] n [-22.91910652  -5.74725573  -6.16296179  -3.59334624]
[2, 14] ['n'] n [-4.85838705 -4.8050725  -5.4300259  -2.27523437]
[1, 14] ['e'] e [-1.15526795 -3.49556863 -3.45692333 -1.51380662]
[1, 15] ['n'] n [-1.54959637 -2.32496632 -7.18369376  0.        ]

